H3_int_index_8;count;geometry;alpha_num;H3_str;label
615115291560509439;256;POLYGON ((128.1583781160798 -3.666873935829328, 128.1575846663536 -3.671870368389615, 128.161522585889 -3.675164516004455, 128.1662540988173 -3.673462293889299, 128.1670476498704 -3.668465766361141, 128.1631095866752 -3.665171555906655, 128.1583781160798 -3.666873935829328));8895419415fffff;8895419415fffff;RB_berth_7
615115291558412287;28236;POLYGON ((128.1725730039284 -3.661766530561458, 128.1717793796427 -3.666763332552224, 128.1757176006107 -3.670057584011588, 128.1804495893627 -3.668355096312006, 128.1812433149324 -3.663358199502438, 128.1773049504729 -3.6600638852019, 128.1725730039284 -3.661766530561458));8895419413fffff;8895419413fffff;RB_berth_7
615115291774418943;782;POLYGON ((128.178862183379 -3.678348435843568, 128.1780685029647 -3.683344878421587, 128.1820067522144 -3.68663908564263, 128.1867388252943 -3.684936913245124, 128.1875326069682 -3.679940375987881, 128.1835942143094 -3.676646105798012, 128.178862183379 -3.678348435843568));88954194e1fffff;88954194e1fffff;RB_berth_7
615115292034465791;5969;POLYGON ((128.1678114840067 -3.691745071139167, 128.1670179500371 -3.696740964079369, 128.1709559122775 -3.70003504526937, 128.1756875520309 -3.698333296540892, 128.1764811872908 -3.693337308842198, 128.172543081514 -3.690043164621113, 128.1678114840067 -3.691745071139167));88954195d9fffff;88954195d9fffff;RB_berth_7
615115291778613247;14135;POLYGON ((128.17333668871 -3.685046996774922, 128.172543081514 -3.690043164621113, 128.1764811872908 -3.693337308842198, 128.1812130437434 -3.691635348207698, 128.1820067522144 -3.68663908564263, 128.1780685029647 -3.683344878421587, 128.17333668871 -3.685046996774922));88954194e5fffff;88954194e5fffff;RB_berth_7
615115292026077183;1830;POLYGON ((128.1709559122775 -3.70003504526937, 128.1701623502368 -3.705030757927578, 128.1741003266644 -3.708324816555355, 128.178832008635 -3.706623225610405, 128.1796256719538 -3.701627418263515, 128.1756875520309 -3.698333296540892, 128.1709559122775 -3.70003504526937));88954195d1fffff;88954195d1fffff;RB_berth_7
615115292038660095;1998;POLYGON ((128.1622865693491 -3.698442658619133, 128.161493108614 -3.703438276479274, 128.1654309272544 -3.706732294607074, 128.1701623502368 -3.705030757927578, 128.1709559122775 -3.70003504526937, 128.1670179500371 -3.696740964079369, 128.1622865693491 -3.698442658619133));88954195ddfffff;88954195ddfffff;RB_berth_7
615115291556315135;5230;POLYGON ((128.1639031096493 -3.660174848844127, 128.1631095866752 -3.665171555906655, 128.1670476498704 -3.668465766361141, 128.1717793796427 -3.666763332552224, 128.1725730039284 -3.661766530561458, 128.168634797137 -3.658472257298488, 128.1639031096493 -3.660174848844127));8895419411fffff;8895419411fffff;RB_berth_7
615115291782807551;2881;POLYGON ((128.1757176006107 -3.670057584011588, 128.1749239482583 -3.675054206398189, 128.178862183379 -3.678348435843568, 128.1835942143094 -3.676646105798012, 128.1843879679337 -3.671649388662397, 128.1804495893627 -3.668355096312006, 128.1757176006107 -3.670057584011588));88954194e9fffff;88954194e9fffff;RB_berth_7
615115291742961663;327;POLYGON ((128.1954404063805 -3.658249836820485, 128.1946465063606 -3.663247102548289, 128.1985851856467 -3.666541498582402, 128.2033179081779 -3.664838691754774, 128.2041119094114 -3.659841331466841, 128.200173086907 -3.656546872557318, 128.1954404063805 -3.658249836820485));88954194c3fffff;88954194c3fffff;RB_berth_10
615115292260958207;205;POLYGON ((128.1946773193269 -3.634964732150188, 128.1938834021928 -3.63996263024742, 128.1978221967446 -3.643257132884508, 128.2025550516743 -3.641553800131518, 128.203349070031 -3.636555807374395, 128.1994101322424 -3.633261242020786, 128.1946773193269 -3.634964732150188));88954196b1fffff;88954196b1fffff;RB_berth_10
615115291766030335;279;POLYGON ((128.2064940034099 -3.64484834379045, 128.2056999570273 -3.64984615741261, 128.2096389226861 -3.653140679166416, 128.2143720778253 -3.651437450101795, 128.2151662253908 -3.646439541999039, 128.2112271166412 -3.643144957432129, 128.2064940034099 -3.64484834379045));88954194d9fffff;88954194d9fffff;RB_berth_10
615115291770224639;4568;POLYGON ((128.2009670601124 -3.651549332795067, 128.200173086907 -3.656546872557318, 128.2041119094114 -3.659841331466841, 128.2088448482825 -3.658138313449024, 128.2096389226861 -3.653140679166416, 128.2056999570273 -3.64984615741261, 128.2009670601124 -3.651549332795067));88954194ddfffff;88954194ddfffff;RB_berth_10
615115292267249663;1941;POLYGON ((128.1978221967446 -3.643257132884508, 128.1970282515724 -3.648254851916536, 128.2009670601124 -3.651549332795067, 128.2056999570273 -3.64984615741261, 128.2064940034099 -3.64484834379045, 128.2025550516743 -3.641553800131518, 128.1978221967446 -3.643257132884508));88954196b7fffff;88954196b7fffff;RB_berth_10
614522714310311935;1420;POLYGON ((127.5948956376345 -0.6172025657080655, 127.5941055625637 -0.6222607141685822, 127.5980492141926 -0.6255545828001494, 127.6027830925547 -0.6237903427208618, 127.6035732715651 -0.6187320811011006, 127.5996294682806 -0.6154381727115583, 127.5948956376345 -0.6172025657080655));88739271cdfffff;88739271cdfffff;RB_berth_1
614522714301923327;2171;POLYGON ((127.5980492141926 -0.6255545828001494, 127.5972591100133 -0.6306126267057707, 127.6012027802616 -0.6339065436316393, 127.6059367063104 -0.6321424564719137, 127.6067269144175 -0.6270842994750626, 127.6027830925547 -0.6237903427208618, 127.5980492141926 -0.6255545828001494));88739271c5fffff;88739271c5fffff;RB_berth_1
615110819765551103;9021;POLYGON ((119.4194828634699 -5.103346946987515, 119.4188093709626 -5.108101634339591, 119.4224844476288 -5.111311975999353, 119.4268332451028 -5.109767683260912, 119.4275068562639 -5.105012817162248, 119.4238315512991 -5.101802422543307, 119.4194828634699 -5.103346946987515));8895008159fffff;8895008159fffff;RB_berth_0
615110819784425471;79249;POLYGON ((119.3993977312225 -5.128538667718658, 119.3987245650883 -5.133291940565012, 119.40239872824 -5.136502070014895, 119.4067462859545 -5.134958979721556, 119.4074195707518 -5.130205528102401, 119.4037451791734 -5.126995345544093, 119.3993977312225 -5.128538667718658));889500816bfffff;889500816bfffff;RB_berth_0
615110819740385279;19008;POLYGON ((119.4014173186638 -5.114277791769807, 119.40074410801 -5.119031593263437, 119.4044184269004 -5.122241718896584, 119.4087661848684 -5.120698096035793, 119.4094395141885 -5.11594411570357, 119.4057649668763 -5.11273393706541, 119.4014173186638 -5.114277791769807));8895008141fffff;8895008141fffff;RB_berth_0
615110819744579583;4096;POLYGON ((119.3963967698442 -5.120575147325458, 119.3957236407857 -5.12532859512786, 119.3993977312225 -5.128538667718658, 119.4037451791734 -5.126995345544093, 119.4044184269004 -5.122241718896584, 119.40074410801 -5.119031593263437, 119.3963967698442 -5.120575147325458));8895008145fffff;8895008145fffff;RB_berth_0
615110819769745407;597;POLYGON ((119.4144609930554 -5.109645858335264, 119.4137875821419 -5.114400192235721, 119.4174624304775 -5.117610480898978, 119.4218109180592 -5.116066488652978, 119.4224844476288 -5.111311975999353, 119.4188093709626 -5.108101634339591, 119.4144609930554 -5.109645858335264));889500815dfffff;889500815dfffff;RB_berth_0
615110819746676735;95194;POLYGON ((119.4044184269004 -5.122241718896584, 119.4037451791734 -5.126995345544093, 119.4074195707518 -5.130205528102401, 119.4117674384537 -5.128662137079027, 119.4124408048414 -5.123908331665236, 119.4087661848684 -5.120698096035793, 119.4044184269004 -5.122241718896584));8895008147fffff;8895008147fffff;RB_berth_0
615110819750871039;62855;POLYGON ((119.4064382591259 -5.107979781997009, 119.4057649668763 -5.11273393706541, 119.4094395141885 -5.11594411570357, 119.4137875821419 -5.114400192235721, 119.4144609930554 -5.109645858335264, 119.4107862173536 -5.106435626729408, 119.4064382591259 -5.107979781997009));889500814bfffff;889500814bfffff;RB_berth_0
615110819767648255;9045;POLYGON ((119.4275068562639 -5.105012817162248, 119.4268332451028 -5.109767683260912, 119.4305086226284 -5.112978134881017, 119.4348578395565 -5.111433773385139, 119.4355315693635 -5.106678728618787, 119.4318559635985 -5.103468224010701, 119.4275068562639 -5.105012817162248));889500815bfffff;889500815bfffff;RB_berth_0
614333853032513535;1019;POLYGON ((119.8550288626805 -0.7126063021820925, 119.8543444755929 -0.7174904263843386, 119.8580600191284 -0.7206794779011128, 119.8624601777587 -0.7189844243137765, 119.8631446846135 -0.7141001025722253, 119.8594289130731 -0.7109110319536653, 119.8550288626805 -0.7126063021820925));8868d626b7fffff;8868d626b7fffff;RB_berth_28
614333853026222079;24604;POLYGON ((119.8519977400108 -0.7045331861366727, 119.8513133901672 -0.7094173887854466, 119.8550288626805 -0.7126063021820925, 119.8594289130731 -0.7109110319536653, 119.86011338269 -0.7060266317007912, 119.8563976821433 -0.7028376992768283, 119.8519977400108 -0.7045331861366727));8868d626b1fffff;8868d626b1fffff;RB_berth_28
614333852516614143;203;POLYGON ((119.849944735766 -0.719185439570889, 119.8492604312077 -0.72406928757001, 119.8529757467039 -0.7272583199441512, 119.8573755947999 -0.725563523458144, 119.8580600191284 -0.7206794779011128, 119.8543444755929 -0.7174904263843386, 119.849944735766 -0.719185439570889));8868d624cbfffff;8868d624cbfffff;RB_berth_28
